unidad;tipo;pregunta;opcion_a;opcion_b;opcion_c;opcion_d;correcta;retroalimentacion
1;conceptual;¿Qué diferencia a un modelo de un sistema?;El color de la interfaz;El sistema integra modelo reglas personas y operación;El modelo siempre usa IA generativa;No existe diferencia;B;Un sistema incorpora contexto componentes decisiones y responsabilidades.
1;aplicación;Un recordatorio con fecha fija se resuelve mejor con…;Una regla de calendario;Un agente autónomo;Reconocimiento facial;Un modelo visión-lenguaje;A;Use la solución más simple que satisface el propósito.
1;conceptual;En PEAS la P significa…;Predicción;Programación;Medida de desempeño;Privacidad;C;El desempeño define cómo se juzga el éxito del agente.
1;conceptual;¿Cuál es un actuador digital?;Una cámara;Un formulario de entrada;Enviar una alerta;Un archivo de datos;C;El actuador materializa una acción.
1;aplicación;Un entorno cambia mientras el agente razona. Es…;Estático;Dinámico;Episódico;Totalmente observable;B;El cambio durante la deliberación caracteriza un entorno dinámico.
1;conceptual;Un agente reactivo…;Planea siempre a largo plazo;Responde al estado actual mediante reglas;No tiene sensores;Entrena modelos;B;La reacción vincula perceptos actuales con acciones.
1;ética;Supervisión humana significativa exige…;Un botón decorativo;Tiempo información competencia y autoridad;Aceptar términos;Una firma automática;B;La persona debe poder cuestionar y detener.
1;aplicación;¿Qué formulación delimita mejor un asistente?;Resolver todo trámite;Responder normativa vigente con citas sin autorizar trámites;Ser inteligente;Ayudar a todos;B;El alcance específico facilita evaluación y control.
1;conceptual;La IA simbólica se apoya en…;Hechos reglas y relaciones explícitas;Sólo millones de imágenes;Temperatura de generación;Sensores biométricos;A;Su conocimiento puede inspeccionarse como símbolos.
1;aplicación;¿Cuándo conviene no usar IA?;Cuando una regla estable resuelve el caso;Cuando existen usuarios;Cuando hay computadora;Nunca;A;Añadir IA sin valor aumenta complejidad y riesgo.
2;conceptual;Una proposición es…;Una relación con variables necesariamente;Un enunciado con valor de verdad;Un archivo multimedia;Una probabilidad calibrada;B;La lógica proposicional trabaja con enunciados verdaderos o falsos.
2;conceptual;Ausencia de evidencia de P implica…;Siempre no P;Siempre P;Desconocido salvo convención justificada;Borrar P;C;No conocer no equivale a negar.
2;aplicación;El encadenamiento hacia adelante inicia con…;Una meta;Hechos disponibles;Una imagen;Una función heurística;B;Aplica reglas para obtener consecuencias.
2;aplicación;El encadenamiento hacia atrás es útil para…;Probar una meta específica;Generar audio;Comprimir datos;Diseñar colores;A;Descompone una meta en submetas.
2;conceptual;Una tabla de decisión ayuda a detectar…;Contradicciones y combinaciones faltantes;Tokens;Píxeles;Embeddings;A;Enumera condiciones y acciones sistemáticamente.
