docente_id,semana,sesion,tarea,completada_si_no,tiempo_segundos,errores,ayuda_requerida_si_no,claridad_1_5,utilidad_1_5,carga_mental_1_5,facilidad_adaptacion_1_5,plan_b_usado_si_no,decision_pedagogica_apoyada_si_no,comentario_sin_datos_personales
D001,1,,Preparar materiales antes de clase,,,,,,,,,,,
D001,1,,Iniciar y pausar el cronometro,,,,,,,,,,,
D001,1,,Localizar respuestas esperadas e intervencion,,,,,,,,,,,
D001,1,,Ajustar el tiempo de un momento,,,,,,,,,,,
D001,1,,Abrir un recurso o activar el plan B,,,,,,,,,,,
D001,1,,Cerrar la sesion y descargar la bitacora,,,,,,,,,,,
D001,8,,Preparar materiales antes de clase,,,,,,,,,,,
D001,8,,Iniciar y pausar el cronometro,,,,,,,,,,,
D001,8,,Localizar respuestas esperadas e intervencion,,,,,,,,,,,
D001,8,,Ajustar el tiempo de un momento,,,,,,,,,,,
D001,8,,Abrir un recurso o activar el plan B,,,,,,,,,,,
D001,8,,Cerrar la sesion y descargar la bitacora,,,,,,,,,,,
D001,16,,Preparar materiales antes de clase,,,,,,,,,,,
D001,16,,Iniciar y pausar el cronometro,,,,,,,,,,,
D001,16,,Localizar respuestas esperadas e intervencion,,,,,,,,,,,
D001,16,,Ajustar el tiempo de un momento,,,,,,,,,,,
D001,16,,Abrir un recurso o activar el plan B,,,,,,,,,,,
D001,16,,Cerrar la sesion y descargar la bitacora,,,,,,,,,,,
