momento,codigo_participante,item,dimension,respuesta_1_5,comentario
semana_4,,Comprendo qué debo lograr en cada misión,claridad,,
semana_4,,La historia me ayuda a relacionar las actividades,narrativa,,
semana_4,,Entiendo la diferencia entre XP insignias NexoCoins y calificación,reglas,,
semana_4,,La retroalimentación me ayuda a corregir mis errores,aprendizaje,,
semana_4,,Los retos me permiten practicar sin temor a equivocarme,seguridad_para_aprender,,
semana_8,,Las metas semanales me ayudan a organizar mi avance,autorregulacion,,
semana_8,,Los avatares y recompensas aumentan mi interés sin distraerme,motivacion,,
semana_8,,La plataforma funciona adecuadamente en mi dispositivo,accesibilidad_tecnica,,
semana_12,,He mantenido mi participación a lo largo del curso,compromiso,,
semana_12,,Puedo aplicar lo practicado en mis evidencias,transferencia,,
cierre,,Recomendaría utilizar NEXUS en otra unidad de aprendizaje,aceptacion,,
cierre,,La plataforma respetó mi privacidad y autonomía,confianza,,
